"1","KALAKAND SWEET / MITHAI","Milk powder 2 cups~Sugar  1/2 cup or to taste~Cream 200 ml~Nuts as required","In a heat resistant bowl add powder milk, cream, sugar and mix well.~Microwave it for 30 seconds and mix, again microwave it for 30 seconds and mix. Do not over cook it will become hard.~You can cook on stove as well.~Line a pan with cling wrap and pour in it, sprinkle nuts on top and press with hands.~Keep it in refrigerator for 1/2 hour, cut pieces and serve.","http://www.ainycooks.com/wp-content/uploads/2019/10/kalakand-m.jpg","https://www.youtube.com/embed/8ApA0f7vs00"
"2","ARIZONA CHICKEN STEAK","Chicken fillets 2 flattened~Salt to tatse~White pepper 1/2 tsp~Black pepper 1/2 tsp~Garlic paste 1/2 tsp~Lemon juice 1 tbsp~Worcestershire sauce 1 tbsp~Oyster sauce 1 tbsp~Chili sauce 1 tbsp~Plain flour as required {for coating}~Butter 2 tbsp~Parsely as needed~Garlic chopped 1/2 tsp~Oil for frying~White Sauce as needed~Saute Vegetabels as needed","Marinate chicken fillet with salt, pepper, mustard paste, egg, garlic and lemon juice, oyster sauce, worcestershire sauce and chili sauce  for 1/2 hour.~Coat fillets in dry flour and than dip in egg and shallow fry it.~Fry till tender but do not over cook.~Heat 1 tbsp butter in a pan add chopped garlic, parsely and 1/22 tsp white pepper. Stir and remove immediately and pour over chicken fillet.~Make a white sauce.~In a pan add 2 tsp butter and 1 tsp oil, heat and add 2 tbsp plain flour. Stir for few seconds.~Add salt and black pepper to taste and 3/4 cup milk. Stir till thick. You can add cheese too. (optional)~Pour a spoon full sauce on steak and serve.~Serve steak with Fried Rice and Saute vegetables.","http://www.ainycooks.com/wp-content/uploads/2019/10/m.jpg",NULL
"3","CHICKEN CREAMY PIE","Chicken boiled and shredded  1 cup~Onion chopped 1 medium ~Butter 1 tbsp~Black pepper 1/2 tsp~Chicken powder 1 tsp~Salt to taste~Red chili flakes 1 tsp or to taste~Flour 2 tbsp~Milk 3/4 cup~Egg 1 beaten~Sesame seeds as needed~Puff pastry or pizza dough as needed","In a pan add butter and onion, stir it for few seconds. Add flour and stir till raw smell remove.~Add chicken and mix well.~Now add chicken powder, salt, black pepper and crushed red chilies. Mix well.~Add chicken milk and stir well. Thick mixture will form.~Roll puff pastry or pizza dough.~Cut in squares.~Fold the corner and cut a strip as mentioned in pic.~Do this on opposite sides.~Place a spoon full of mixture in center and brush egg wash on all corners.~Overlap both sides.~Brush egg wash on top of pie, sprinkle sesame seeds.~Bake at 180c till done.","http://www.ainycooks.com/wp-content/uploads/2017/06/mince-pie-m.jpg",NULL
"4","2 INGREDIENTS CHOCOLATE MOUSSE","Cooking Chocolate / Milk chocolate  200g~Whipping cream 2 cups ","Add 1/2 cup cream in chocolate and microwave it. You can melt chocolate on double boiler too. Melt chocolate and mix well.~Now whip cream(in my cream vanilla and sugar was added). Whip cream till peaks form.~Fold chocolate in cream.~Fill in pipping bag and make small servings.~Dust cocoa and serve chill.","http://www.ainycooks.com/wp-content/uploads/2019/06/2-ingredient-mousse-m.jpg",NULL
"5","KARACHI FAMOUS STUDENT BIRYANI","Rice Basmati 1/2 kg~Chicken  1/2 kg~Red chili powder 1 tbsp~Black pepper 1 tsp~White pepper 1 tsp~Turmeric powder 1 tsp~Chopped green chilies 1 tbsp~Whole Spices Mix 2 tbsp~Dhania powder 1 -1/2 tbsp~Jaifal / Javtri powder 1/4 tsp~Ajino moto (optional) 1 tbsp~All spice powder 1 tbsp~Cumin powder 1 tbsp~Ginger garlic paste 1 -1/2 tbsp~Zarda / orange food colour 1/2 tsp~Kewra water 1 tsp~Tomato paste 4 tomatoes~Brown onion 1 cup~Yogurt  1 cup~Green chillies 3-4~Green coriander  1/2 cup~Min leaves 1/2 cup~Biryani essence 1/2 tsp","Soak rice for 20 minutes.~Boil rice and add salt, biryani essence, whole spices, Oil 2tbsp and vinegar 1 tbsp. Add rice and cook till half done . Now run cold water from rice to stop cooking process of rice.~Set aside.~You can cook Chicken gravy and than boil rice. Its up to you.~In a pot add 1 cup oil and add ginger garlic paste, saute for few minutes and add tomato paste.~Stir for few minutes and add chicken, stir.~Add salt to taste, Yogurt, red chili powder, ajino moto, cumin powder, coriander powder, turmeric powder, black pepper, white pepper, green chilli chopped, jaifal javitri, kewra essence, zarda colour, mix all well. let it cook for 5 minutes.~Add coriander and mint leaves and 1 cup water. Cook on high flame and add brown onion.~Cook till gravy become thick. Let water dry and add all spice powder and green chilies. Mix well. Do not over cook chicken.~Spread Boiled rice on top of gravy and cover with lid for 10-15 minutes.~Let it simmer on low flame.~Mix and serve with Raita and salad.","http://www.ainycooks.com/wp-content/uploads/2018/10/biryani-m1.jpg",NULL
"6","FRUIT PUNCH DELIGHT","Any Cake  250 g or as required~Fruits, seasonal or use cocktail fruit  1 can or as required~Dry fruits (raisins, almond, pistachio) as required~Jelly 1 packet, prepare and set~Desiccated coconut 4 tbsp~Cream 250 g, whipped~Fresh milk 1 cup~Jam e shiren 2 tbsp~Condensed milk 2 tbsp","In 1 cup milk add Jam-e-shiren 2 tbsp and condensed milk, mix well. Set aside.~In a bowl or any serving dish pour prepared milk, 2-3 tbsp and rotate bowl, this process will set the cake with walls of the bowl.~Arrange cake slices on the bottom and sides of the bowl.~Cut fruits in small cubes or take cocktail tin, spread on cake layer.~Sprinkle raisin, almond, pistachio and a layer of jelly.~Again a layer of cake and sprinkle milk, spread fruit and desiccated coconut.~Now on top of fruits pour milk with spoon.~Beat cream till fluffy.~Spread cream on top.~Garnish with sprinkles.~Serve chill.","http://www.ainycooks.com/wp-content/uploads/2018/05/fruit-punch-m.jpg",NULL
"7","MEETHI TIKKIYAN OR PORIAN","Flour 1 cup~Poppy seeds 1/4 cup or 2 tbsp~Sesame seeds 1 tbsp~Fennel seeds 1 tbsp~Brown sugar 1/2 cup~Oil 2 tbsp~Baking Soda 1/4 tsp/ pinch~Cardamom  crushed 2-3","Add all ingredients in a bowl and mix.~Knead with water or milk.~Set aside for few minutes.~Dust flour on surface and roll the dough.~Cut rounds from cutter or cover of bottle and fry. I cut them in diamond shape. In my video I have demonstrated, so you can check it in video.~After frying place on paper towel and let it cool.~Enjoy with tea.","http://www.ainycooks.com/wp-content/uploads/2018/04/tukkiyan-m.jpg","https://www.youtube.com/embed/ZRfsMGPjsi4?version=3&rel=1&fs=1&autohide=2&showsearch=0&showinfo=1&iv_load_policy=1&start=17&wmode=transparent"
"8","BURNS ROAD’S WAHEED KE KEBAB","Beef Mince  1 kg~Yogurt 1/2 cup~Ginger garlic paste 1 and 1/2 tbsp~Meat tenderizer or raw papaya paste 1 tbsp~Gram flour/ basan 3 tbsp~Red chili powder 2 tbsp~Red chili flakes  1 tbsp~Turmeric powder 1 tsp~Coriander powder 2 tbsp~Freshly grounded black pepper 1 tbsp~All spice powder 1 tbsp~Salt to taste~Oil/ ghee/ butter 1 cup~Onion, chopped 1 small","Marinate mince with yogurt, meat tenderizer and ginger garlic paste. Keep it for 1/2 an hour.~Now on a pan or tawa toast gram flour, add in mince.~Add all spices in mince and mix with hand.~Leave it for 1/2 more hour. I normally marinate it overnight for smooth texture.~Now in a pot add oil and onion. In original recipe generous amount of oil was used but I have used according to my need.~Fry onion till light brown and add mince in it. Stir for few minutes.~Now cover with the lid and cook on very low flame till oil separate.~In the end Give smoke of charcoal.~Garnish with green chilies and coriander.~Serve with Naan or parathas along with Raita and salad.","http://www.ainycooks.com/wp-content/uploads/2018/02/waheed-ke-kebab-m.jpg","https://www.youtube.com/embed/eUeQHL-FjGY?version=3&rel=1&fs=1&autohide=2&showsearch=0&showinfo=1&iv_load_policy=1&wmode=transparent"
"9","GOND KA HALWA","Semolina / whole wheat flour (chaki ka atta) 1 cup~Desi ghee/ Un salted Butter 1/2 cup or 3/4 cup~Cardamom 3-4~Gond ka tera 3-4 tbsp. (powder)~Milk 1 cup~Sugar 3/4 cup~Coconut  3 tbsp~Mixed nuts as required","Fry gond in ghee (2 tbsp.) It will pop and become crispy. Place on paper towel and let it cool. Grind it and set aside.~In ghee add semolina/ Atta and cardamom, fry till light golden color appear.~Now add all crushed nuts and sugar. Mix well.~Add gond powder and mix well.~Add Milk and stir.~Keep on mixing till ghee separates.~Add nuts and serve hot.~You can store in a air tight container  and keep in refrigerator.","http://www.ainycooks.com/wp-content/uploads/2018/02/GOND-HALWA-M.jpg",NULL
"10","EGG FRIED RICE- RESTAURANT STYLE","Rice  2 cups~Eggs  2~Garlic  2 cloves, chopped~Yellow food color, optional pinch~Milk/ water 1 tsp~Capsicum 1 large~Cabbage 1 cup~Carrot 1/4 cup~Spring onion few leaves~Salt to taste~Chicken powder 1 tbsp~Chinese salt, optional 1 tbsp~Black pepper 1 tsp~Sugar  1 tsp~Vinegar 1 tbsp~Soya sauce 1-2 tbsp~Oil 1/2 cup","Boil Rice and let them cool completely.~Beat egg with milk or water and pinch of yellow food color.~In a wok add oil and heat it. Cook on high flame now.~Add chopped ginger and stir, add eggs and stir.~Now add vegetables and stir fast.~Add all spices and keep on mixing.~Add Rice and stir.~Before serving sprinkle green part of spring onion and serve hot.","http://www.ainycooks.com/wp-content/uploads/2018/01/fried-rice-m.jpg",NULL
